COUNTRY_REGION,ISO3166_1,ISO3166_2,NOTE,STATE,HOSPITALS,ICU_BEDS,COUNTY,FIPS
United States,US,AK,Hospitals without ICU beds,Alaska,1,0,Northwest Arctic Borough,02188
United States,US,AK,Hospitals without ICU beds,Alaska,1,0,Petersburg Borough,02195
United States,US,AK,No hospitals,Alaska,0,0,Prince of Wales-Hyder,02198
United States,US,AK,Hospitals without ICU beds,Alaska,2,0,Sitka Borough,02220
United States,US,AK,No hospitals,Alaska,0,0,Skagway Municipality,02230
United States,US,AK,No hospitals,Alaska,0,0,Southeast Fairbanks,02240
United States,US,AK,Hospitals without ICU beds,Alaska,2,0,Valdez-Cordova,02261
United States,US,AK,Hospitals without ICU beds,Alaska,1,0,Wrangell City and Borough,02275
United States,US,AK,No hospitals,Alaska,0,0,Yakutat City and Borough,02282
United States,US,AK,No hospitals,Alaska,0,0,Yukon-Koyukuk,02290
United States,US,AZ,Hospitals without ICU beds,Arizona,4,0,Apache,04001
United States,US,AZ,Hospitals with ICU beds,Arizona,4,12,Cochise,04003
United States,US,AZ,Hospitals with ICU beds,Arizona,3,41,Coconino,04005
United States,US,AZ,Hospitals with ICU beds,Arizona,3,8,Gila,04007
United States,US,AZ,Hospitals without ICU beds,Arizona,1,0,Graham,04009
United States,US,AZ,No hospitals,Arizona,0,0,Greenlee,04011
United States,US,AZ,Hospitals with ICU beds,Arizona,2,3,La Paz,04012
United States,US,AZ,Hospitals with ICU beds,Arizona,34,1004,Maricopa,04013
United States,US,AZ,Hospitals with ICU beds,Arizona,4,80,Mohave,04015
United States,US,AZ,Hospitals with ICU beds,Arizona,4,12,Navajo,04017
United States,US,AZ,Hospitals with ICU beds,Arizona,9,296,Pima,04019
United States,US,AZ,Hospitals with ICU beds,Arizona,4,22,Pinal,04021
United States,US,AZ,Hospitals without ICU beds,Arizona,1,0,Santa Cruz,04023
United States,US,AZ,Hospitals with ICU beds,Arizona,2,39,Yavapai,04025
United States,US,AZ,Hospitals with ICU beds,Arizona,1,42,Yuma,04027
United States,US,AR,Hospitals without ICU beds,Arkansas,2,0,Arkansas,05001
United States,US,AR,Hospitals with ICU beds,Arkansas,1,6,Ashley,05003
United States,US,AR,Hospitals with ICU beds,Arkansas,2,17,Baxter,05005
United States,US,AR,Hospitals with ICU beds,Arkansas,3,30,Benton,05007
United States,US,AR,Hospitals with ICU beds,Arkansas,1,24,Boone,05009
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Bradley,05011
United States,US,AR,No hospitals,Arkansas,0,0,Calhoun,05013
United States,US,AR,Hospitals without ICU beds,Arkansas,2,0,Carroll,05015
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Chicot,05017
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Clark,05019
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Clay,05021
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Cleburne,05023
United States,US,AR,No hospitals,Arkansas,0,0,Cleveland,05025
United States,US,AR,Hospitals with ICU beds,Arkansas,1,6,Columbia,05027
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Conway,05029
United States,US,AR,Hospitals with ICU beds,Arkansas,2,66,Craighead,05031
United States,US,AR,Hospitals with ICU beds,Arkansas,1,8,Crawford,05033
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Crittenden,05035
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Cross,05037
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Dallas,05039
United States,US,AR,Hospitals without ICU beds,Arkansas,2,0,Desha,05041
United States,US,AR,Hospitals with ICU beds,Arkansas,1,5,Drew,05043
United States,US,AR,Hospitals with ICU beds,Arkansas,2,25,Faulkner,05045
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Franklin,05047
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Fulton,05049
United States,US,AR,Hospitals with ICU beds,Arkansas,3,41,Garland,05051
United States,US,AR,No hospitals,Arkansas,0,0,Grant,05053
United States,US,AR,Hospitals with ICU beds,Arkansas,1,8,Greene,05055
United States,US,AR,Hospitals with ICU beds,Arkansas,1,8,Hempstead,05057
United States,US,AR,Hospitals with ICU beds,Arkansas,1,6,Hot Spring,05059
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Howard,05061
United States,US,AR,Hospitals with ICU beds,Arkansas,1,12,Independence,05063
United States,US,AR,No hospitals,Arkansas,0,0,Izard,05065
United States,US,AR,No hospitals,Arkansas,0,0,Jackson,05067
United States,US,AR,Hospitals with ICU beds,Arkansas,1,34,Jefferson,05069
United States,US,AR,Hospitals with ICU beds,Arkansas,1,8,Johnson,05071
United States,US,AR,No hospitals,Arkansas,0,0,Lafayette,05073
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Lawrence,05075
United States,US,AR,No hospitals,Arkansas,0,0,Lee,05077
United States,US,AR,No hospitals,Arkansas,0,0,Lincoln,05079
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Little River,05081
United States,US,AR,Hospitals without ICU beds,Arkansas,2,0,Logan,05083
United States,US,AR,No hospitals,Arkansas,0,0,Lonoke,05085
United States,US,AR,No hospitals,Arkansas,0,0,Madison,05087
United States,US,AR,No hospitals,Arkansas,0,0,Marion,05089
United States,US,AR,No hospitals,Arkansas,0,0,Miller,05091
United States,US,AR,Hospitals with ICU beds,Arkansas,2,5,Mississippi,05093
United States,US,AR,No hospitals,Arkansas,0,0,Monroe,05095
United States,US,AR,No hospitals,Arkansas,0,0,Montgomery,05097
United States,US,AR,No hospitals,Arkansas,0,0,Nevada,05099
United States,US,AR,No hospitals,Arkansas,0,0,Newton,05101
United States,US,AR,Hospitals with ICU beds,Arkansas,1,8,Ouachita,05103
United States,US,AR,No hospitals,Arkansas,0,0,Perry,05105
United States,US,AR,Hospitals with ICU beds,Arkansas,1,6,Phillips,05107
United States,US,AR,No hospitals,Arkansas,0,0,Pike,05109
United States,US,AR,No hospitals,Arkansas,0,0,Poinsett,05111
United States,US,AR,Hospitals with ICU beds,Arkansas,1,6,Polk,05113
United States,US,AR,Hospitals with ICU beds,Arkansas,1,11,Pope,05115
United States,US,AR,No hospitals,Arkansas,0,0,Prairie,05117
United States,US,AR,Hospitals with ICU beds,Arkansas,8,209,Pulaski,05119
United States,US,AR,Hospitals with ICU beds,Arkansas,1,2,Randolph,05121
United States,US,AR,Hospitals with ICU beds,Arkansas,1,6,St. Francis,05123
United States,US,AR,Hospitals with ICU beds,Arkansas,1,16,Saline,05125
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Scott,05127
United States,US,AR,No hospitals,Arkansas,0,0,Searcy,05129
United States,US,AR,Hospitals with ICU beds,Arkansas,2,69,Sebastian,05131
United States,US,AR,No hospitals,Arkansas,0,0,Sevier,05133
United States,US,AR,No hospitals,Arkansas,0,0,Sharp,05135
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Stone,05137
United States,US,AR,Hospitals with ICU beds,Arkansas,1,16,Union,05139
United States,US,AR,Hospitals without ICU beds,Arkansas,1,0,Van Buren,05141
United States,US,AR,Hospitals with ICU beds,Arkansas,3,61,Washington,05143
United States,US,AR,Hospitals with ICU beds,Arkansas,1,13,White,05145
United States,US,AR,No hospitals,Arkansas,0,0,Woodruff,05147
United States,US,AR,Hospitals without ICU beds,Arkansas,2,0,Yell,05149
United States,US,CA,Hospitals with ICU beds,California,12,282,Alameda,06001
United States,US,CA,No hospitals,California,0,0,Alpine,06003
United States,US,CA,Hospitals with ICU beds,California,1,6,Amador,06005
United States,US,CA,Hospitals with ICU beds,California,4,43,Butte,06007
United States,US,CA,Hospitals without ICU beds,California,1,0,Calaveras,06009
United States,US,CA,Hospitals without ICU beds,California,1,0,Colusa,06011
United States,US,CA,Hospitals with ICU beds,California,7,163,Contra Costa,06013
United States,US,CA,Hospitals with ICU beds,California,1,6,Del Norte,06015
United States,US,CA,Hospitals with ICU beds,California,2,28,El Dorado,06017
United States,US,CA,Hospitals with ICU beds,California,7,164,Fresno,06019
United States,US,CA,Hospitals without ICU beds,California,1,0,Glenn,06021
United States,US,CA,Hospitals with ICU beds,California,4,32,Humboldt,06023
United States,US,CA,Hospitals with ICU beds,California,2,28,Imperial,06025
United States,US,CA,Hospitals with ICU beds,California,2,4,Inyo,06027
United States,US,CA,Hospitals with ICU beds,California,10,144,Kern,06029
United States,US,CA,Hospitals with ICU beds,California,1,22,Kings,06031
United States,US,CA,Hospitals with ICU beds,California,2,8,Lake,06033
United States,US,CA,Hospitals without ICU beds,California,1,0,Lassen,06035
United States,US,CA,Hospitals with ICU beds,California,76,2126,Los Angeles,06037
United States,US,CA,Hospitals with ICU beds,California,1,10,Madera,06039
United States,US,CA,Hospitals with ICU beds,California,3,66,Marin,06041
United States,US,CA,Hospitals without ICU beds,California,1,0,Mariposa,06043
United States,US,CA,Hospitals with ICU beds,California,3,14,Mendocino,06045
United States,US,CA,Hospitals with ICU beds,California,2,24,Merced,06047
United States,US,CA,Hospitals without ICU beds,California,2,0,Modoc,06049
United States,US,CA,Hospitals with ICU beds,California,1,2,Mono,06051
United States,US,CA,Hospitals with ICU beds,California,4,27,Monterey,06053
United States,US,CA,Hospitals with ICU beds,California,2,32,Napa,06055
United States,US,CA,Hospitals with ICU beds,California,2,10,Nevada,06057
United States,US,CA,Hospitals with ICU beds,California,24,651,Orange,06059
United States,US,CA,Hospitals with ICU beds,California,3,70,Placer,06061
United States,US,CA,Hospitals without ICU beds,California,3,0,Plumas,06063
United States,US,CA,Hospitals with ICU beds,California,16,351,Riverside,06065
United States,US,CA,Hospitals with ICU beds,California,8,396,Sacramento,06067
United States,US,CA,Hospitals with ICU beds,California,1,8,San Benito,06069
United States,US,CA,Hospitals with ICU beds,California,18,410,San Bernardino,06071
United States,US,CA,Hospitals with ICU beds,California,15,570,San Diego,06073
United States,US,CA,Hospitals with ICU beds,California,10,337,San Francisco,06075
United States,US,CA,Hospitals with ICU beds,California,7,121,San Joaquin,06077
United States,US,CA,Hospitals with ICU beds,California,3,46,San Luis Obispo,06079
United States,US,CA,Hospitals with ICU beds,California,7,131,San Mateo,06081
United States,US,CA,Hospitals with ICU beds,California,5,82,Santa Barbara,06083
United States,US,CA,Hospitals with ICU beds,California,9,313,Santa Clara,06085
United States,US,CA,Hospitals with ICU beds,California,3,22,Santa Cruz,06087
United States,US,CA,Hospitals with ICU beds,California,4,81,Shasta,06089
United States,US,CA,No hospitals,California,0,0,Sierra,06091
United States,US,CA,Hospitals with ICU beds,California,2,4,Siskiyou,06093
United States,US,CA,Hospitals with ICU beds,California,4,92,Solano,06095
United States,US,CA,Hospitals with ICU beds,California,8,82,Sonoma,06097
United States,US,CA,Hospitals with ICU beds,California,5,88,Stanislaus,06099
United States,US,CA,Hospitals without ICU beds,California,1,0,Sutter,06101
United States,US,CA,Hospitals with ICU beds,California,1,8,Tehama,06103
United States,US,CA,Hospitals without ICU beds,California,1,0,Trinity,06105
United States,US,CA,Hospitals with ICU beds,California,4,51,Tulare,06107
United States,US,CA,Hospitals with ICU beds,California,1,6,Tuolumne,06109
United States,US,CA,Hospitals with ICU beds,California,7,139,Ventura,06111
United States,US,CA,Hospitals with ICU beds,California,2,14,Yolo,06113
United States,US,CA,Hospitals with ICU beds,California,1,24,Yuba,06115
United States,US,CO,Hospitals with ICU beds,Colorado,3,168,Adams,08001
United States,US,CO,Hospitals with ICU beds,Colorado,1,6,Alamosa,08003
United States,US,CO,Hospitals with ICU beds,Colorado,3,127,Arapahoe,08005
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Archuleta,08007
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Baca,08009
United States,US,CO,No hospitals,Colorado,0,0,Bent,08011
United States,US,CO,Hospitals with ICU beds,Colorado,5,72,Boulder,08013
United States,US,CO,Hospitals with ICU beds,Colorado,1,20,Broomfield,08014
United States,US,CO,Hospitals with ICU beds,Colorado,1,2,Chaffee,08015
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Cheyenne,08017
United States,US,CO,No hospitals,Colorado,0,0,Clear Creek,08019
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Conejos,08021
United States,US,CO,No hospitals,Colorado,0,0,Costilla,08023
United States,US,CO,No hospitals,Colorado,0,0,Crowley,08025
United States,US,CO,No hospitals,Colorado,0,0,Custer,08027
United States,US,CO,Hospitals with ICU beds,Colorado,1,6,Delta,08029
United States,US,CO,Hospitals with ICU beds,Colorado,6,227,Denver,08031
United States,US,CO,No hospitals,Colorado,0,0,Dolores,08033
United States,US,CO,Hospitals with ICU beds,Colorado,3,54,Douglas,08035
United States,US,CO,Hospitals with ICU beds,Colorado,1,5,Eagle,08037
United States,US,CO,No hospitals,Colorado,0,0,Elbert,08039
United States,US,CO,Hospitals with ICU beds,Colorado,3,95,El Paso,08041
United States,US,CO,Hospitals with ICU beds,Colorado,1,4,Fremont,08043
United States,US,CO,Hospitals with ICU beds,Colorado,2,5,Garfield,08045
United States,US,CO,No hospitals,Colorado,0,0,Gilpin,08047
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Grand,08049
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Gunnison,08051
United States,US,CO,No hospitals,Colorado,0,0,Hinsdale,08053
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Huerfano,08055
United States,US,CO,No hospitals,Colorado,0,0,Jackson,08057
United States,US,CO,Hospitals with ICU beds,Colorado,4,94,Jefferson,08059
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Kiowa,08061
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Kit Carson,08063
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Lake,08065
United States,US,CO,Hospitals with ICU beds,Colorado,2,11,La Plata,08067
United States,US,CO,Hospitals with ICU beds,Colorado,5,55,Larimer,08069
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Las Animas,08071
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Lincoln,08073
United States,US,CO,Hospitals with ICU beds,Colorado,1,4,Logan,08075
United States,US,CO,Hospitals with ICU beds,Colorado,3,44,Mesa,08077
United States,US,CO,No hospitals,Colorado,0,0,Mineral,08079
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Moffat,08081
United States,US,CO,Hospitals with ICU beds,Colorado,1,4,Montezuma,08083
United States,US,CO,Hospitals with ICU beds,Colorado,1,8,Montrose,08085
United States,US,CO,Hospitals with ICU beds,Colorado,2,6,Morgan,08087
United States,US,CO,Hospitals with ICU beds,Colorado,1,506,Otero,08089
United States,US,CO,No hospitals,Colorado,0,0,Ouray,08091
United States,US,CO,No hospitals,Colorado,0,0,Park,08093
United States,US,CO,Hospitals without ICU beds,Colorado,2,0,Phillips,08095
United States,US,CO,Hospitals with ICU beds,Colorado,1,4,Pitkin,08097
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Prowers,08099
United States,US,CO,Hospitals with ICU beds,Colorado,2,32,Pueblo,08101
United States,US,CO,Hospitals without ICU beds,Colorado,2,0,Rio Blanco,08103
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Rio Grande,08105
United States,US,CO,Hospitals with ICU beds,Colorado,1,4,Routt,08107
United States,US,CO,No hospitals,Colorado,0,0,Saguache,08109
United States,US,CO,No hospitals,Colorado,0,0,San Juan,08111
United States,US,CO,No hospitals,Colorado,0,0,San Miguel,08113
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Sedgwick,08115
United States,US,CO,Hospitals with ICU beds,Colorado,1,8,Summit,08117
United States,US,CO,Hospitals without ICU beds,Colorado,1,0,Teller,08119
United States,US,CO,No hospitals,Colorado,0,0,Washington,08121
United States,US,CO,Hospitals with ICU beds,Colorado,1,26,Weld,08123
United States,US,CO,Hospitals without ICU beds,Colorado,2,0,Yuma,08125
United States,US,CT,Hospitals with ICU beds,Connecticut,6,173,Fairfield,09001
United States,US,CT,Hospitals with ICU beds,Connecticut,7,216,Hartford,09003
United States,US,CT,Hospitals with ICU beds,Connecticut,2,21,Litchfield,09005
United States,US,CT,Hospitals with ICU beds,Connecticut,1,24,Middlesex,09007
United States,US,CT,Hospitals with ICU beds,Connecticut,8,186,New Haven,09009
United States,US,CT,Hospitals with ICU beds,Connecticut,2,32,New London,09011
United States,US,CT,Hospitals with ICU beds,Connecticut,2,16,Tolland,09013
United States,US,CT,Hospitals with ICU beds,Connecticut,2,6,Windham,09015
United States,US,DE,Hospitals with ICU beds,Delaware,1,29,Kent,10001
United States,US,DE,Hospitals with ICU beds,Delaware,2,119,New Castle,10003
United States,US,DE,Hospitals with ICU beds,Delaware,3,38,Sussex,10005
United States,US,DC,Hospitals with ICU beds,District of Columbia,6,314,The District,11001
United States,US,FL,Hospitals with ICU beds,Florida,2,210,Alachua,12001
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Baker,12003
United States,US,FL,Hospitals with ICU beds,Florida,2,77,Bay,12005
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Bradford,12007
United States,US,FL,Hospitals with ICU beds,Florida,7,159,Brevard,12009
United States,US,FL,Hospitals with ICU beds,Florida,14,587,Broward,12011
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Calhoun,12013
United States,US,FL,Hospitals with ICU beds,Florida,3,51,Charlotte,12015
United States,US,FL,Hospitals with ICU beds,Florida,2,40,Citrus,12017
United States,US,FL,Hospitals with ICU beds,Florida,2,28,Clay,12019
United States,US,FL,Hospitals with ICU beds,Florida,2,73,Collier,12021
United States,US,FL,Hospitals with ICU beds,Florida,2,27,Columbia,12023
United States,US,FL,Hospitals with ICU beds,Florida,1,8,DeSoto,12027
United States,US,FL,No hospitals,Florida,0,0,Dixie,12029
United States,US,FL,Hospitals with ICU beds,Florida,7,412,Duval,12031
United States,US,FL,Hospitals with ICU beds,Florida,3,120,Escambia,12033
United States,US,FL,Hospitals with ICU beds,Florida,1,18,Flagler,12035
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Franklin,12037
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Gadsden,12039
United States,US,FL,No hospitals,Florida,0,0,Gilchrist,12041
United States,US,FL,No hospitals,Florida,0,0,Glades,12043
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Gulf,12045
United States,US,FL,No hospitals,Florida,0,0,Hamilton,12047
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Hardee,12049
United States,US,FL,Hospitals with ICU beds,Florida,1,3,Hendry,12051
United States,US,FL,Hospitals with ICU beds,Florida,2,44,Hernando,12053
United States,US,FL,Hospitals with ICU beds,Florida,2,38,Highlands,12055
United States,US,FL,Hospitals with ICU beds,Florida,8,432,Hillsborough,12057
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Holmes,12059
United States,US,FL,Hospitals with ICU beds,Florida,2,40,Indian River,12061
United States,US,FL,Hospitals with ICU beds,Florida,1,7,Jackson,12063
United States,US,FL,No hospitals,Florida,0,0,Jefferson,12065
United States,US,FL,No hospitals,Florida,0,0,Lafayette,12067
United States,US,FL,Hospitals with ICU beds,Florida,4,158,Lake,12069
United States,US,FL,Hospitals with ICU beds,Florida,4,141,Lee,12071
United States,US,FL,Hospitals with ICU beds,Florida,2,60,Leon,12073
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Levy,12075
United States,US,FL,No hospitals,Florida,0,0,Liberty,12077
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Madison,12079
United States,US,FL,Hospitals with ICU beds,Florida,3,90,Manatee,12081
United States,US,FL,Hospitals with ICU beds,Florida,2,110,Marion,12083
United States,US,FL,Hospitals with ICU beds,Florida,1,74,Martin,12085
United States,US,FL,Hospitals with ICU beds,Florida,17,593,Miami-Dade,12086
United States,US,FL,Hospitals with ICU beds,Florida,3,14,Monroe,12087
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Nassau,12089
United States,US,FL,Hospitals with ICU beds,Florida,3,57,Okaloosa,12091
United States,US,FL,Hospitals with ICU beds,Florida,1,8,Okeechobee,12093
United States,US,FL,Hospitals with ICU beds,Florida,3,388,Orange,12095
United States,US,FL,Hospitals with ICU beds,Florida,3,66,Osceola,12097
United States,US,FL,Hospitals with ICU beds,Florida,12,401,Palm Beach,12099
United States,US,FL,Hospitals with ICU beds,Florida,6,166,Pasco,12101
United States,US,FL,Hospitals with ICU beds,Florida,10,279,Pinellas,12103
United States,US,FL,Hospitals with ICU beds,Florida,5,145,Polk,12105
United States,US,FL,Hospitals with ICU beds,Florida,1,10,Putnam,12107
United States,US,FL,Hospitals with ICU beds,Florida,1,47,St. Johns,12109
United States,US,FL,Hospitals with ICU beds,Florida,2,69,St. Lucie,12111
United States,US,FL,Hospitals with ICU beds,Florida,3,16,Santa Rosa,12113
United States,US,FL,Hospitals with ICU beds,Florida,4,118,Sarasota,12115
United States,US,FL,Hospitals with ICU beds,Florida,2,38,Seminole,12117
United States,US,FL,No hospitals,Florida,0,0,Sumter,12119
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Suwannee,12121
United States,US,FL,Hospitals with ICU beds,Florida,1,6,Taylor,12123
United States,US,FL,Hospitals without ICU beds,Florida,1,0,Union,12125
United States,US,FL,Hospitals with ICU beds,Florida,5,148,Volusia,12127
United States,US,FL,No hospitals,Florida,0,0,Wakulla,12129
United States,US,FL,Hospitals with ICU beds,Florida,2,28,Walton,12131
